order_id,customer_id,product_id,carrier_id,order_date,required_date,shipped_date,status,quantity,total_amount,days_delayed
120,16,30,3,2022-09-05,2022-09-25,2022-10-10,DELIVERED,34,16792.26,15
121,39,4,5,2023-11-03,2023-11-10,2023-11-17,Delivered,87,37741.47,7
122,8,8,2,2023-05-27,2023-06-02,2023-06-10,delayed,2,866.74,8
123,9,5,3,2022-06-22,2022-07-13,,Canceled,3,329.22,
124,93,37,2,2022-09-08,,2022-09-18,Deleyed,56,15972.32,6
125,64,42,2,2023-07-28,2023-08-14,2023-08-16,Delivered,38,1306.44,2
126,70,25,1,2024-12-12,2024-12-22,,cancelled,92,17108.32,
127,30,50,3,2023-03-25,2023-03-28,2023-03-29,delivered,75,24380.25,1
128,76,12,2,2022-04-25,2022-05-22,2022-05-23,DELIVERED,,15043.68,1
129,5,12,3,2022-10-19,2022-11-09,2022-11-19,,63,30572.64,10
130,76,2,1,2023-02-17,2023-03-17,2023-03-16,Delivered,19,4307.11,0
131,18,20,3,2024-02-05,2024-03-01,2024-03-09,Deleyed,42,13198.08,8
132,23,23,5,2022-12-23,2023-01-17,,cancelled,29,9747.19,
133,41,12,1,2024-03-12,2024-04-11,,Canceled,78,37851.84,
134,82,46,1,2023-11-10,2023-12-06,2023-12-06,Delivered,86,13059.96,0
135,22,47,4,2023-06-10,2023-07-08,2023-07-13,Deliverd,54,12067.92,5
136,41,19,1,2023-04-07,2023-04-15,2023-04-22,DELAYED,3,1174.11,7
137,4,31,5,2022-07-10,2022-07-23,,CANCELLED,91,12742.73,
138,37,17,5,2023-01-25,2023-02-10,,CANCELLED,85,40219.45,
139,77,43,3,2024-01-09,2024-01-12,2024-01-19,delayed,81,12051.99,7
140,12,43,4,2022-08-25,2022-09-06,2022-09-26,DELAYED,34,5058.86,20
141,97,18,2,2023-06-24,2023-07-11,2023-07-24,DELAYED,73,2934.6,13
142,74,44,5,2023-04-11,2023-05-01,2023-05-10,Delivered,61,,9
143,97,10,5,2024-11-24,2024-12-22,,Canceled,16,4642.88,
144,94,39,2,2024-05-17,2024-05-22,2024-06-02,Deleyed,34,5667.12,11
145,54,27,5,2024-11-30,2024-12-17,2024-12-29,Delivered,15,390.45,12
146,50,27,3,2023-08-09,2023-09-08,,CANCELLED,34,885.02,
147,61,4,2,2024-04-02,2024-04-06,2024-04-21,Delayed,96,41645.76,15
148,100,48,3,2024-10-03,2024-11-02,2024-11-07,Deliverd,57,14813.16,5
149,9,33,1,2024-04-13,2024-05-09,2024-05-25,delayed,21,7540.68,16
150,91,4,4,2022-12-22,2022-12-31,2022-12-31,Deliverd,47,20389.07,0
151,45,38,4,2022-03-04,2022-03-14,2022-03-15,DELIVERED,71,4313.96,1
152,35,44,2,2024-03-02,2024-03-06,2024-03-13,Delivered,27,104220.0,7
153,28,25,4,2022-01-18,2022-01-28,2022-02-02,Deliverd,,10570.95,5
154,88,19,5,2024-02-06,2024-02-26,,cancelled,39,15263.43,
155,41,26,5,2023-09-04,2023-09-13,2023-09-12,Deliverd,85,17037.4,0
156,29,47,3,2024-03-06,2024-04-01,2024-04-03,Deliverd,92,20560.16,2
157,61,19,2,2022-12-15,2023-01-13,,Canceled,13,5087.81,
158,75,24,3,2023-04-01,2023-04-15,2023-04-22,Deliverd,34,16005.16,7
159,20,27,3,2022-05-26,2022-06-13,2022-06-14,Deliverd,7,182.21,1
160,8,21,,2022-10-21,2022-11-03,2022-11-10,delivered,82,4441.94,7
161,52,41,4,2022-06-30,2022-07-07,,Cancelled,55,6348.1,
162,1,2,2,2022-01-29,2022-02-11,,cancelled,87,19722.03,
163,77,47,4,2023-09-19,2023-09-27,2023-10-02,delivered,67,14973.16,5
164,17,15,2,2023-01-21,,2023-02-03,delayed,94,7645.02,5
165,14,4,5,2024-02-08,,2024-03-05,Delivered,85,36873.85,3
166,85,43,4,2024-08-29,2024-09-23,2024-09-21,delivered,13,1934.27,0
167,34,13,5,2022-08-30,2022-09-11,2022-09-16,DELIVERED,100,,5
168,86,1,2,2024-10-13,2024-10-22,2024-11-06,Deleyed,2,9626.8,15
169,23,4,4,2022-07-27,2022-08-07,2022-08-07,DELIVERED,13,5639.53,0
170,35,23,3,2022-07-14,2022-08-13,2022-08-12,DELIVERED,57,27245.43,0
171,15,42,4,2023-07-11,2023-08-09,2023-08-29,delayed,22,756.36,20
172,79,50,,2024-06-16,2024-06-24,,Canceled,46,14953.22,
173,74,50,5,2024-06-21,2024-06-25,2024-06-25,DELIVERED,96,31206.72,0
174,2,40,5,2024-06-05,2024-06-29,2024-06-30,Deliverd,7,2480.24,1
175,83,15,5,2024-10-03,2024-10-16,2024-10-16,Delivered,71,5774.43,0
176,5,26,1,2024-10-17,,2024-11-04,Delivered,53,10623.32,1
177,59,4,3,2024-11-07,2024-11-27,2024-12-04,Deliverd,29,12580.49,7
178,90,34,5,2022-07-19,2022-08-15,2022-08-15,Deliverd,48,12958.56,0
179,51,13,2,2022-08-08,2022-08-19,,Canceled,16,5074.08,
180,64,33,,2022-09-10,2022-10-07,2022-10-26,Deleyed,18,6463.44,19
181,14,47,2,2022-12-29,2023-01-23,,cancelled,17,3799.16,
182,18,29,3,2023-05-24,2023-06-04,2023-06-19,DELAYED,18,7121.16,15
183,23,46,2,2023-03-22,2023-03-31,2023-04-06,DELIVERED,84,12756.24,6
184,67,28,3,2024-05-04,2024-05-28,,Cancelled,2,206.02,
185,5,49,2,2022-11-26,2022-12-08,2022-12-06,delivered,70,5943.7,0
186,2,36,3,2023-08-13,2023-09-07,2023-09-22,Deliverd,7,2425.78,15
187,26,48,5,2024-01-24,2024-02-20,,cancelled,78,20270.64,
188,72,25,1,2022-12-22,2023-01-17,,,6,1319.82,
189,46,37,4,2022-03-23,2022-03-30,2022-04-01,delivered,71,20250.62,2
190,45,26,5,2022-11-23,2022-12-09,,cancelled,12,2405.28,
191,45,8,1,2024-12-22,2025-01-09,,Canceled,86,37269.82,
192,66,50,5,2022-08-21,2022-09-05,2022-09-05,Delivered,48,15603.36,0
193,27,41,1,2022-06-18,2022-06-24,2022-07-14,Deliverd,9,1038.78,20
194,5,46,4,2024-06-10,2024-07-03,2024-07-03,DELIVERED,43,6529.98,0
195,3,28,4,2023-06-14,2023-06-30,2023-07-19,Delayed,41,4223.41,19
196,78,44,3,2022-04-04,2022-04-29,2022-05-01,Deliverd,39,,2
197,39,41,3,2022-11-17,2022-12-07,2022-12-08,DELIVERED,,2192.98,1
198,40,36,5,2022-10-17,2022-10-23,2022-10-25,DELIVERED,11,3811.94,2
199,73,12,1,2022-10-19,2022-10-27,2022-10-27,Deliverd,86,41734.08,0
200,84,9,3,2023-05-29,2023-06-04,2023-06-11,Delivered,86,21493.12,7
201,47,37,2,2023-09-19,2023-10-14,,,73,20821.06,
202,100,29,4,2024-06-12,2024-06-23,2024-06-23,delivered,46,18198.52,0
203,4,33,1,2022-10-14,2022-11-03,2022-11-01,delivered,81,29085.48,0
204,65,9,3,2024-08-24,2024-09-16,2024-09-15,Delivered,60,14995.2,0
205,23,29,2,2022-12-06,2023-01-02,,Canceled,21,8308.02,
206,30,17,1,2023-03-25,2023-04-21,2023-05-03,DELAYED,48,22712.16,12
207,73,38,3,2022-03-23,2022-04-15,2022-04-17,DELIVERED,70,4253.2,2
208,1,31,4,2023-05-31,2023-06-15,2023-06-15,delivered,78,10922.34,0
209,15,22,4,2022-11-04,2022-11-12,2022-11-10,delivered,93,42582.84,0
210,19,3,5,2023-05-15,2023-05-19,2023-05-18,delivered,74,12698.4,0
211,22,31,5,2022-02-08,2022-03-06,2022-03-21,delivered,62,8681.86,15
212,30,38,5,2024-11-12,2024-11-23,2024-12-01,Delivered,9,546.84,8
213,69,39,5,2024-05-09,2024-06-07,2024-06-14,Deliverd,5,2200.5,7
214,68,3,3,2022-01-03,2022-01-30,2022-02-17,Deleyed,90,15444.0,18
215,25,39,,2022-07-20,2022-08-05,2022-08-04,Delivered,70,,0
216,33,42,4,2023-02-25,2023-03-22,2023-03-20,DELIVERED,75,2578.5,0
217,48,31,5,2023-02-22,2023-03-10,,cancelled,23,3220.69,
218,52,14,1,2022-10-10,2022-11-09,2022-11-13,Delivered,66,,4
219,29,5,1,2022-07-06,2022-08-04,2022-08-06,Deliverd,34,3731.16,2
220,82,50,1,2023-08-10,,,cancelled,23,7476.61,
221,36,11,1,2023-04-20,2023-05-12,2023-05-16,Deliverd,12,,4
222,75,47,3,2022-05-21,2022-05-26,,cancelled,72,16090.56,
223,65,36,1,2024-04-07,2024-04-28,2024-04-29,DELIVERED,10,3465.4,1
224,97,50,4,2024-06-25,2024-07-10,,CANCELLED,32,10402.24,
225,46,21,2,2023-06-13,,2023-06-30,DELAYED,53,2871.01,12
226,46,31,2,2023-12-02,2023-12-07,,Canceled,41,5741.23,
227,32,15,2,2024-10-18,2024-11-13,2024-11-12,Delivered,26,2114.58,0
228,41,24,4,2024-10-05,2024-10-27,2024-10-30,DELIVERED,80,37659.2,3
229,70,28,5,2023-07-28,2023-08-12,2023-08-12,delivered,62,6386.62,0
230,47,7,5,2023-10-09,2023-11-03,2023-11-02,DELIVERED,42,6426.42,0
231,97,27,2,2024-01-20,2024-01-28,2024-02-15,DELAYED,90,2342.7,18
232,95,25,4,2023-04-14,2023-05-13,2023-05-21,delivered,26,2117.96,8
233,51,37,5,2024-11-24,2024-12-14,2024-12-19,delivered,7,1996.54,5
234,3,17,5,2024-07-10,2024-08-05,2024-08-05,delivered,45,21292.65,0
235,81,25,1,2023-08-06,2023-08-20,2023-08-29,DELIVERED,79,11881.6,9
236,78,46,3,2022-05-27,2022-06-01,2022-06-01,Deliverd,35,5315.1,0
237,94,2,2,2024-12-02,2024-12-19,2024-12-29,Delayed,17,3853.73,10
238,80,7,1,2024-08-27,2024-09-16,2024-09-17,Deliverd,34,5202.34,1
239,85,2,2,2022-09-16,2022-09-23,,CANCELLED,5,1133.45,
240,59,38,2,2024-06-30,2024-07-07,,CANCELLED,77,4678.52,
241,40,6,2,2023-12-13,2023-12-31,,,57,15954.87,
242,99,20,4,2022-10-07,2022-10-21,2022-10-19,delivered,2,628.48,0
243,55,17,2,2024-06-14,2024-06-29,2024-06-30,DELIVERED,11,5204.87,1
244,35,40,4,2024-04-25,2024-05-04,2024-05-04,,58,20550.56,0
245,2,6,2,2023-01-16,2023-01-22,2023-01-23,DELIVERED,20,5598.2,1
246,10,50,3,2022-03-06,2022-03-19,2022-03-19,DELIVERED,51,16578.57,0
247,95,13,1,2023-05-25,2023-06-09,2023-06-21,delayed,59,18710.67,12
248,82,17,1,2023-10-24,2023-11-01,2023-11-12,Delivered,62,29336.54,11
249,2,26,1,2024-06-08,2024-06-21,2024-06-21,Deliverd,32,6414.08,0
250,81,22,5,2023-05-25,2023-06-02,2023-06-09,delayed,98,44872.24,7
251,25,29,,2023-04-22,2023-05-05,,Canceled,94,37188.28,
252,45,12,5,2023-08-27,2023-09-16,2023-09-27,delayed,70,33969.6,11
253,47,2,2,2023-06-24,2023-07-14,2023-07-16,Delivered,80,18135.2,2
254,53,19,5,2024-12-09,2025-01-02,2025-01-11,Delayed,42,16437.54,9
255,85,42,5,2022-03-06,2022-03-15,2022-03-13,DELIVERED,50,1719.0,0
256,47,41,4,2022-01-27,2022-02-05,2022-02-12,Deleyed,8,923.36,7
257,13,34,2,2023-06-29,2023-07-18,2023-07-20,delivered,13,3509.61,2
258,99,48,4,2023-01-02,2023-01-22,,CANCELLED,14,3638.32,
259,57,35,2,2023-01-05,2023-01-25,2023-02-09,DELAYED,77,16996.21,15
260,47,48,5,2023-10-25,2023-11-16,2023-11-15,,33,8576.04,0
261,41,15,,2022-02-03,2022-02-22,2022-02-24,DELIVERED,28,2277.24,2
262,32,24,3,2022-11-13,2022-11-19,2022-11-18,Delivered,75,35305.5,0
263,83,7,5,2022-06-08,2022-07-04,2022-07-11,Deliverd,77,11781.77,7
264,96,50,1,2023-12-14,2024-01-12,2024-01-30,Delayed,30,9752.1,18
265,20,45,5,2024-12-09,2024-12-13,2024-12-12,Deliverd,29,11746.16,0
266,44,10,4,2022-07-04,2022-07-14,2022-07-28,Delayed,17,4933.06,14
267,26,32,2,2024-06-08,2024-07-05,2024-07-15,delivered,51,16809.6,10
268,77,23,3,2022-07-03,2022-07-09,2022-07-27,delayed,25,4179.0,18
269,94,10,3,2024-06-24,2024-07-16,2024-07-15,Delivered,97,28147.46,0
270,43,31,4,2023-08-13,2023-08-16,2023-08-19,delivered,3,420.09,3
271,37,11,3,2022-10-17,2022-11-11,2022-11-13,DELIVERED,8,,2
272,50,19,1,2024-03-06,2024-03-30,2024-04-01,Delivered,84,32875.08,2
273,68,3,1,2022-06-30,2022-07-08,2022-07-09,,32,5491.2,1
274,33,4,3,2023-09-12,2023-09-22,,Cancelled,81,35138.61,
275,30,41,5,2023-12-01,2023-12-16,2023-12-17,Deliverd,88,10156.96,1
276,68,45,3,2022-09-27,2022-10-06,2022-10-05,delivered,91,36858.64,0
277,19,12,1,2022-05-19,2022-06-08,,CANCELLED,41,19896.48,
278,78,40,5,2023-07-15,2023-07-22,2023-07-21,delivered,,12401.2,0
279,84,31,5,2024-09-03,2024-09-10,,CANCELLED,92,12882.76,
280,9,49,2,2024-04-16,2024-05-13,2024-05-22,Deliverd,27,2292.57,9
281,93,39,1,2024-07-26,2024-08-05,2024-08-22,Delayed,95,39322.4,17
282,6,26,5,2022-03-28,2022-04-07,,Cancelled,95,19041.8,
283,83,10,5,2023-08-09,2023-08-26,2023-08-28,Delivered,60,17410.8,2
284,59,2,4,2022-10-05,2022-10-20,2022-11-04,delayed,23,5213.87,15
285,50,34,1,2022-12-02,2022-12-27,2022-12-28,delivered,91,24567.27,1
286,40,27,1,2023-11-18,2023-12-09,2023-12-08,DELIVERED,40,1041.2,0
287,64,1,3,2023-02-20,2023-02-23,,Cancelled,59,283990.6,
288,71,39,1,2024-09-01,2024-09-18,2024-10-07,delayed,77,1017.94,19
289,14,6,3,2022-03-17,2022-03-24,2022-03-31,DELIVERED,7,1959.37,7
290,99,3,3,2022-12-30,2023-01-16,,CANCELLED,12,2059.2,
291,43,45,1,2022-05-13,2022-05-25,2022-06-03,delayed,36,14581.44,9
292,74,39,4,2024-12-19,2024-12-24,2025-01-07,delayed,41,5626.43,14
293,4,1,2,2024-10-16,2024-11-03,2024-11-12,delivered,16,77014.4,9
294,26,1,2,2023-11-15,2023-11-29,,Cancelled,82,394698.8,
295,43,12,1,2022-01-13,2022-01-19,2022-01-21,Deliverd,25,12132.0,2
296,8,27,4,2024-09-13,2024-09-20,2024-10-05,DELAYED,,2498.88,15
297,81,22,1,2023-11-11,2023-12-09,2023-12-08,Deliverd,49,22436.12,0
298,39,32,1,2023-09-24,2023-10-19,2023-10-26,Delivered,31,5954.48,7
299,20,31,1,2022-07-09,2022-07-26,,cancelled,65,9101.95,
300,15,46,,2024-11-23,2024-12-17,2024-12-15,Delivered,67,10174.62,0
301,42,41,3,2023-10-02,2023-10-05,,cancelled,27,3116.34,
302,70,7,5,2022-11-19,2022-11-30,2022-12-02,delivered,27,4131.27,2
303,4,4,4,2022-12-17,2022-12-22,2022-12-31,Delivered,17,7374.77,9
304,60,49,1,2024-07-02,2024-07-24,2024-07-23,Deliverd,98,8321.18,0
305,24,24,3,2024-08-11,2024-08-29,2024-09-17,DELIVERED,51,24007.74,19
306,78,50,3,2023-12-21,2024-01-08,2024-01-18,Deleyed,45,14628.15,10
307,32,16,4,2022-05-26,2022-06-23,2022-06-24,Deliverd,80,6410.4,1
308,23,45,5,2024-06-01,2024-06-29,2024-07-14,Deleyed,31,12556.24,15
309,77,26,3,2022-07-19,2022-08-17,2022-08-27,Deleyed,9,1803.96,10
310,38,29,2,2023-03-22,2023-04-20,2023-04-24,delivered,69,27297.78,4
311,17,33,5,2023-09-16,2023-10-02,2023-10-06,,52,18672.16,4
312,41,26,5,2022-08-13,2022-09-12,2022-09-25,Deliverd,81,16235.64,13
313,86,10,4,2023-01-21,,2023-02-26,Delayed,37,10736.66,16
314,24,28,5,2022-10-06,2022-10-11,2022-10-20,Deliverd,80,8240.8,9
315,74,18,5,2022-01-16,2022-02-06,2022-02-18,Deleyed,53,24593.06,12
316,11,30,3,2022-06-13,2022-06-20,,Canceled,67,33090.63,
317,7,20,5,2022-06-09,2022-07-03,,Cancelled,79,24824.96,
318,77,3,2,2023-11-10,2023-11-26,2023-12-06,DELIVERED,89,15272.4,10
319,10,32,3,2022-04-16,2022-05-10,2022-05-13,delivered,11,793.54,3
320,90,12,3,2022-08-17,2022-09-08,2022-09-23,Delivered,34,16499.52,15
321,57,16,4,2022-11-12,2022-12-11,2022-12-29,DELAYED,85,6811.05,18
322,96,20,4,2022-04-18,2022-04-26,2022-05-13,delayed,61,19168.64,17
323,87,29,3,2022-10-25,2022-11-13,2022-11-18,Delayed,49,19385.38,5
324,51,42,3,2024-06-03,2024-06-25,2024-06-25,delivered,75,2578.5,0
325,13,1,1,2023-11-23,2023-12-17,2023-12-15,DELIVERED,53,255110.2,0
326,91,41,5,2022-02-18,2022-03-12,2022-03-14,delivered,16,1846.72,2
327,86,18,4,2023-01-14,2023-01-20,2023-01-21,delivered,99,21702.78,1
328,26,5,4,2024-03-06,2024-03-19,2024-03-19,Deliverd,63,6913.62,0
329,100,47,5,2022-08-06,2022-08-23,2022-08-21,delivered,,,0
330,99,33,1,2024-03-10,2024-03-21,2024-04-01,Delivered,,32676.28,11
331,52,23,5,2024-09-14,2024-09-20,,Cancelled,43,14796.3,
332,90,25,1,2024-07-30,2024-08-26,2024-09-03,DELIVERED,85,8805.15,8
333,83,25,4,2023-01-24,2023-01-31,2023-02-02,Deliverd,,3585.96,2
334,20,44,4,2023-11-23,2023-12-21,2023-12-20,Delivered,69,266340.0,0
